 Date,Time,Message
2026-09-05,03:17:17 GMT,V6.3 DIAG | 5 0 7 0.04999999999999993 -0.028571428571428567 -0.04999999999999999 0.06666666666666667 0.6 -0.1 -0.15 5 3 0 1 0 1 10 0
2026-09-05,03:17:16 GMT,V6.3 DIAG | 0 0 6 -0.09999999999999998 0 0.10000000000000003 0 0.6 -0.1 -0.4 5 3 0 1 0 1 10 0
2026-09-05,03:17:15 GMT,V6.3 DIAG | 7 0 6 -0.050000000000000044 0 0.050000000000000044 0 0.6 -0.1 -0.45 5 3 0 1 0 1 10 0
2026-09-05,03:17:15 GMT,Bought: (ID: 22526048279)
2026-09-05,03:17:09 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,03:17:09 GMT,V6.3 DIAG | 0 0 11 0.09999999999999998 0.028571428571428567 -0.10000000000000003 -0.06666666666666667 0.15000000000000002 -0.1 -0.55 5 3 0 0 1 1 10 0
2026-09-05,03:17:09 GMT,Loss amount: -2.42
2026-09-05,03:17:09 GMT,V6.3 DIAG | 6 0 7 0.09999999999999998 -0.028571428571428567 -0.10000000000000003 0.06666666666666667 0.15000000000000002 -0.1 0.25 5 3 0 0 0 1 9 0
2026-09-05,03:17:08 GMT,V6.3 DIAG | 7 0 6 0 0 0 0 0.1 -0.1 0 5 3 0 1 0 1 9 0
2026-09-05,03:17:08 GMT,V6.3 DIAG | 2 0 8 0.1499999999999999 -0.028571428571428567 -0.15000000000000002 0.06666666666666667 0.4 -0.1 -0.04999999999999999 6 2 0 0 0 1 9 0
2026-09-05,03:17:08 GMT,Bought: (ID: 22526039819)
2026-09-05,03:17:06 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,03:17:06 GMT,V6.3 DIAG | 0 0 11 0.1499999999999999 0.028571428571428567 -0.15000000000000002 -0.06666666666666667 0.35000000000000003 -0.35000000000000003 -0.55 6 2 0 0 1 1 9 0
2026-09-05,03:17:02 GMT,V6.3 BLOCK - final pressure/veto/active/timing gate failed or signal already used
2026-09-05,03:17:02 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,03:17:02 GMT,V6.3 DIAG | 7 0 5 0 0 0 0 0.35000000000000003 -0.6000000000000001 0.25 6 2 0 1 0 1 9 0
2026-09-05,03:17:00 GMT,Loss amount: -2.42
2026-09-05,03:17:00 GMT,V6.3 DIAG | 0 0 10 -0.050000000000000044 0.05714285714285714 0.050000000000000044 -0.13333333333333336 -0.15 -0.6000000000000001 0 6 2 1 1 0 1 8 0
2026-09-05,03:17:00 GMT,V6.3 DIAG | 4 0 9 -0.050000000000000044 0.05714285714285714 0.050000000000000044 -0.13333333333333336 -0.15 -0.6000000000000001 0 5 3 2 1 0 1 8 0
2026-09-05,03:17:00 GMT,V6.3 DIAG | 6 0 7 -0.050000000000000044 0.05714285714285714 0.050000000000000044 -0.13333333333333336 -0.15 -0.6000000000000001 0 4 4 2 1 0 1 8 0
2026-09-05,03:16:58 GMT,V6.3 DIAG | 9 0 3 0 0 0 0 -0.15 0.2 -0.04999999999999999 4 4 2 1 0 1 8 0
2026-09-05,03:16:58 GMT,Bought: (ID: 22526025759)
2026-09-05,03:16:56 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,03:16:56 GMT,V6.3 DIAG | 5 0 4 -0.050000000000000044 -0.05714285714285714 0.050000000000000044 0.13333333333333336 -0.4 1 0.25 5 3 2 1 0 1 8 0
2026-09-05,03:16:56 GMT,V6.3 BLOCK - final pressure/veto/active/timing gate failed or signal already used
2026-09-05,03:16:56 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,03:16:56 GMT,V6.3 DIAG | 8 0 4 -0.050000000000000044 -0.05714285714285714 0.050000000000000044 0.13333333333333336 -0.4 1 0.25 5 3 2 1 0 1 8 0
2026-09-05,03:16:55 GMT,Profit amount: 1.53
2026-09-05,03:16:55 GMT,V6.3 DIAG | 8 0 6 0.04999999999999993 -0.028571428571428567 -0.04999999999999999 0.06666666666666667 -0.4 0.5 0.25 5 3 1 1 0 1 7 0
2026-09-05,03:16:55 GMT,V6.3 DIAG | 9 0 11 0.04999999999999993 0.028571428571428567 -0.04999999999999999 -0.06666666666666667 -0.4 -0.05 0 6 2 0 1 0 1 7 0
2026-09-05,03:16:50 GMT,V6.3 DIAG | 1 0 10 0 0.08571428571428572 0 -0.2 -0.4 -0.05 -0.75 7 1 0 0 0 1 7 0
2026-09-05,03:16:50 GMT,V6.3 DIAG | 3 0 10 0.04999999999999993 0.028571428571428567 -0.04999999999999999 -0.06666666666666667 0.4 -0.05 -0.8 6 2 0 1 0 1 7 0
2026-09-05,03:16:50 GMT,Bought: (ID: 22526012159)
2026-09-05,03:16:48 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,03:16:48 GMT,V6.3 DIAG | 4 0 7 -0.25 0.028571428571428574 0.25 -0.06666666666666668 0.15000000000000002 -0.05 -0.25 4 4 0 1 0 1 7 0
2026-09-05,03:16:48 GMT,V6.3 DIAG | 7 0 2 -0.4 0 0.39999999999999997 0 0.15000000000000002 -0.05 0.30000000000000004 4 4 0 1 0 1 6 0
2026-09-05,03:16:48 GMT,Loss amount: -2.42
2026-09-05,03:16:47 GMT,V6.3 DIAG | 5 0 7 -0.30000000000000004 0.028571428571428574 0.3 -0.06666666666666668 -0.35000000000000003 -0.05 0.30000000000000004 4 4 0 1 0 1 6 0
2026-09-05,03:16:47 GMT,V6.3 DIAG | 6 0 4 -0.30000000000000004 -0.028571428571428574 0.3 0.06666666666666668 -0.35000000000000003 -0.05 1.1 3 5 0 1 0 1 6 0
2026-09-05,03:16:47 GMT,V6.3 DIAG | 9 0 3 -0.4 0 0.39999999999999997 0 -0.6000000000000001 -0.1 1.1 3 5 0 1 0 1 6 0
2026-09-05,03:16:45 GMT,Bought: (ID: 22526000019)
2026-09-05,03:16:41 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,03:16:41 GMT,V6.3 DIAG | 5 0 3 -0.15000000000000002 -0.05714285714285714 0.15000000000000002 0.13333333333333336 0.2 -0.1 0.8500000000000001 4 4 0 1 0 1 6 0
2026-09-05,03:16:40 GMT,Loss amount: -2.42
2026-09-05,03:16:40 GMT,V6.3 DIAG | 9 0 3 -0.09999999999999998 -0.05714285714285714 0.10000000000000003 0.13333333333333336 0.2 -0.15 0.8500000000000001 4 4 0 1 0 1 5 0
2026-09-05,03:16:40 GMT,V6.3 DIAG | 4 0 5 0 -0.028571428571428567 0 0.06666666666666667 0.2 -0.15 0.35000000000000003 5 3 0 0 0 1 5 0
2026-09-05,03:16:38 GMT,V6.3 DIAG | 7 0 5 -0.09999999999999998 -0.05714285714285714 0.10000000000000003 0.13333333333333336 1 -0.15 0.05000000000000002 5 3 0 1 0 1 5 0
2026-09-05,03:16:38 GMT,V6.3 DIAG | 9 0 6 0.04999999999999993 -0.028571428571428567 -0.04999999999999999 0.06666666666666667 0.45 -0.15 0.05000000000000002 6 2 0 1 0 1 5 0
2026-09-05,03:16:38 GMT,Bought: (ID: 22525991699)
2026-09-05,03:16:36 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,03:16:36 GMT,V6.3 DIAG | 6 0 8 0.15000000000000002 0 -0.14999999999999997 0 0.45 -0.15 -0.45 6 2 0 0 0 1 5 0
2026-09-05,03:16:35 GMT,V6.3 BLOCK - final pressure/veto/active/timing gate failed or signal already used
2026-09-05,03:16:35 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,03:16:35 GMT,V6.3 DIAG | 7 0 8 0.15000000000000002 0 -0.14999999999999997 0 0.45 -0.15 -0.45 6 2 0 1 0 1 5 0
2026-09-05,03:16:35 GMT,Profit amount: 1.53
2026-09-05,03:16:35 GMT,V6.3 DIAG | 5 0 8 0.25 -0.028571428571428567 -0.24999999999999997 0.06666666666666667 -0.05 -0.15 0.35000000000000003 7 1 0 0 0 1 4 0
2026-09-05,03:16:30 GMT,V6.3 DIAG | 6 0 8 0.15000000000000002 0 -0.14999999999999997 0 -0.05 -0.4 0.30000000000000004 7 1 0 0 0 1 4 1
2026-09-05,03:16:29 GMT,V6.3 DIAG | 0 0 8 0.15000000000000002 0 -0.14999999999999997 0 -0.05 -0.4 0.30000000000000004 7 1 0 0 0 1 4 0
2026-09-05,03:16:29 GMT,V6.3 DIAG | 1 0 9 0 0.028571428571428567 0 -0.06666666666666667 -0.05 -0.4 0.05000000000000002 6 2 1 1 0 1 4 0
2026-09-05,03:16:29 GMT,Bought: (ID: 22525980859)
2026-09-05,03:16:27 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,03:16:27 GMT,V6.3 DIAG | 6 0 12 0.10000000000000009 0.057142857142857134 -0.09999999999999998 -0.13333333333333333 -0.05 -0.4 -0.45 6 2 1 0 1 1 4 0
2026-09-05,03:16:27 GMT,Profit amount: 1.53
2026-09-05,03:16:27 GMT,V6.3 DIAG | 2 0 8 0.15000000000000002 0 -0.14999999999999997 0 -0.1 0.4 -0.45 6 2 1 1 0 1 3 0
2026-09-05,03:16:26 GMT,V6.3 DIAG | 6 0 8 0.20000000000000007 0 -0.2 0 -0.1 0.4 -0.5 6 2 1 1 0 1 3 0
2026-09-05,03:16:25 GMT,V6.3 DIAG | 2 0 7 0.20000000000000007 -0.057142857142857134 -0.2 0.13333333333333333 -0.1 0.4 0.30000000000000004 6 2 1 1 0 1 3 0
2026-09-05,03:16:25 GMT,V6.3 DIAG | 3 0 7 0.20000000000000007 -0.057142857142857134 -0.2 0.13333333333333333 -0.1 0.4 0.30000000000000004 6 2 1 1 0 1 3 0
2026-09-05,03:16:25 GMT,Bought: (ID: 22525971119)
2026-09-05,03:16:22 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,03:16:22 GMT,V6.3 DIAG | 1 0 10 0.04999999999999993 0.028571428571428567 -0.04999999999999999 -0.06666666666666667 -0.15 -0.35000000000000003 0.05000000000000002 7 1 0 0 0 1 3 0
2026-09-05,03:16:22 GMT,Profit amount: 1.53
2026-09-05,03:16:22 GMT,V6.3 DIAG | 9 0 10 0.04999999999999993 0.028571428571428567 -0.04999999999999999 -0.06666666666666667 -0.15 -0.35000000000000003 0.05000000000000002 6 2 1 1 0 1 2 0
2026-09-05,03:16:22 GMT,V6.3 DIAG | 0 0 11 0.04999999999999993 0.08571428571428572 -0.04999999999999999 -0.2 -0.2 -0.6000000000000001 -0.45 6 2 1 0 0 1 2 0
2026-09-05,03:16:21 GMT,V6.3 DIAG | 1 0 11 0.04999999999999993 0.08571428571428572 -0.04999999999999999 -0.2 -0.2 -0.6000000000000001 -0.45 6 2 1 0 0 1 2 0
2026-09-05,03:16:21 GMT,V6.3 DIAG | 6 0 8 -0.09999999999999998 0.05714285714285714 0.10000000000000003 -0.13333333333333336 -0.2 0.2 -0.7000000000000001 5 3 2 1 0 1 2 0
2026-09-05,03:16:19 GMT,Bought: (ID: 22525959959)
2026-09-05,03:16:18 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,03:16:18 GMT,V6.3 DIAG | 1 0 5 -0.25 0.028571428571428574 0.25 -0.06666666666666668 -0.45 0.2 0.1 4 4 2 1 0 1 2 0
2026-09-05,03:16:16 GMT,Loss amount: -2.42
2026-09-05,03:16:16 GMT,V6.3 DIAG | 5 0 2 -0.25 -0.028571428571428574 0.25 0.06666666666666668 -0.45 1 0.1 3 5 2 1 0 1 1 0
2026-09-05,03:16:16 GMT,V6.3 DIAG | 8 0 2 -0.25 -0.028571428571428574 0.25 0.06666666666666668 -0.45 1 0.1 3 5 2 1 0 1 1 0
2026-09-05,03:16:15 GMT,Bought: (ID: 22525950599)
2026-09-05,03:16:08 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,03:16:08 GMT,V6.3 DIAG | 6 0 5 -0.050000000000000044 -0.028571428571428567 0.04999999999999999 0.06666666666666667 0.30000000000000004 0 0.15000000000000002 5 3 0 0 0 1 1 0
2026-09-05,03:16:08 GMT,Loss amount: -3
