 Date,Time,Message
2026-09-08,11:39:44 GMT,Welcome back! Your messages have been restored. You are using your Demo account.
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 2 | RSI= 33.33333333383861 | SMA2= 9713.415 | SMA3= 9713.203333333333 | Points= 0.07999999999992724 | Strength= 560 | Points2= 0.42000000000007276 | Strength2= 560 | Tick1= 9713.78 Tick2= 9713.36 Tick3= 9713.44 Tick4= 9713.4 Extra= 9713.4 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 1 | Score= 70 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9713.205 | SMA3= 9713.063333333334 | Points= 0.040000000000873115 | Strength= 560 | Points2= 0.07999999999992724 | Strength2= 560 | Tick1= 9713.36 Tick2= 9713.44 Tick3= 9713.4 Tick4= 9713.28 Extra= 9713.28 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9713.244999999999 | SMA3= 9713.090000000002 | Points= 0.11999999999898137 | Strength= 560 | Points2= 0.040000000000873115 | Strength2= 560 | Tick1= 9713.44 Tick2= 9713.4 Tick3= 9713.28 Tick4= 9713.02 Extra= 9713.02 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 20 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 37.681159420293675 | SMA2= 9713.224999999999 | SMA3= 9713.076666666668 | Points= 0.2600000000002183 | Strength= 560 | Points2= 0.11999999999898137 | Strength2= 560 | Tick1= 9713.4 Tick2= 9713.28 Tick3= 9713.02 Tick4= 9713.45 Extra= 9713.45 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 60 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 15.686274509782933 | SMA2= 9713.165 | SMA3= 9713.036666666667 | Points= 0.43000000000029104 | Strength= 560 | Points2= 0.2600000000002183 | Strength2= 560 | Tick1= 9713.28 Tick2= 9713.02 Tick3= 9713.45 Tick4= 9713.37 Extra= 9713.37 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 40 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 57.142857143042754 | SMA2= 9713.035 | SMA3= 9712.95 | Points= 0.07999999999992724 | Strength= 560 | Points2= 0.43000000000029104 | Strength2= 560 | Tick1= 9713.02 Tick2= 9713.45 Tick3= 9713.37 Tick4= 9713.43 Extra= 9713.43 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 30 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 66.66666666700351 | SMA2= 9713.25 | SMA3= 9713.093333333334 | Points= 0.05999999999949068 | Strength= 560 | Points2= 0.07999999999992724 | Strength2= 560 | Tick1= 9713.45 Tick2= 9713.37 Tick3= 9713.43 Tick4= 9713.31 Extra= 9713.31 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 1 | Score= 70 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9713.21 | SMA3= 9713.066666666668 | Points= 0.12000000000080036 | Strength= 560 | Points2= 0.05999999999949068 | Strength2= 560 | Tick1= 9713.37 Tick2= 9713.43 Tick3= 9713.31 Tick4= 9713.07 Extra= 9713.07 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 40 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 2 | RSI= 88.88888888866433 | SMA2= 9713.24 | SMA3= 9713.086666666668 | Points= 0.23999999999978172 | Strength= 560 | Points2= 0.12000000000080036 | Strength2= 560 | Tick1= 9713.43 Tick2= 9713.31 Tick3= 9713.07 Tick4= 9713.1 Extra= 9713.1 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 1 | Score= 80 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 74.99999999962105 | SMA2= 9713.18 | SMA3= 9713.046666666667 | Points= 0.030000000000654836 | Strength= 560 | Points2= 0.23999999999978172 | Strength2= 560 | Tick1= 9713.31 Tick2= 9713.07 Tick3= 9713.1 Tick4= 9713.01 Extra= 9713.01 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 1 | Score= 50 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9713.06 | SMA3= 9712.966666666667 | Points= 0.09000000000014552 | Strength= 560 | Points2= 0.030000000000654836 | Strength2= 560 | Tick1= 9713.07 Tick2= 9713.1 Tick3= 9713.01 Tick4= 9712.84 Extra= 9712.84 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 20 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 35.416666666714036 | SMA2= 9713.075 | SMA3= 9712.976666666667 | Points= 0.17000000000007276 | Strength= 560 | Points2= 0.09000000000014552 | Strength2= 560 | Tick1= 9713.1 Tick2= 9713.01 Tick3= 9712.84 Tick4= 9713.15 Extra= 9713.15 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 60 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 6.060606060739687 | SMA2= 9713.029999999999 | SMA3= 9712.946666666669 | Points= 0.3099999999994907 | Strength= 560 | Points2= 0.17000000000007276 | Strength2= 560 | Tick1= 9713.01 Tick2= 9712.84 Tick3= 9713.15 Tick4= 9713.13 Extra= 9713.13 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 40 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 14.285714285899886 | SMA2= 9712.945 | SMA3= 9712.890000000001 | Points= 0.020000000000436557 | Strength= 560 | Points2= 0.3099999999994907 | Strength2= 560 | Tick1= 9712.84 Tick2= 9713.15 Tick3= 9713.13 Tick4= 9713.25 Extra= 9713.25 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 0 | SMA2= 9713.099999999999 | SMA3= 9712.993333333334 | Points= 0.12000000000080036 | Strength= 560 | Points2= 0.020000000000436557 | Strength2= 560 | Tick1= 9713.15 Tick2= 9713.13 Tick3= 9713.25 Tick4= 9713.29 Extra= 9713.29 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 40 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 90.24390243885125 | SMA2= 9713.09 | SMA3= 9712.986666666666 | Points= 0.040000000000873115 | Strength= 560 | Points2= 0.12000000000080036 | Strength2= 560 | Tick1= 9713.13 Tick2= 9713.25 Tick3= 9713.29 Tick4= 9712.92 Extra= 9712.92 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 54.411764705976765 | SMA2= 9713.15 | SMA3= 9713.026666666667 | Points= 0.37000000000080036 | Strength= 560 | Points2= 0.040000000000873115 | Strength2= 560 | Tick1= 9713.25 Tick2= 9713.29 Tick3= 9712.92 Tick4= 9713.23 Extra= 9713.23 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 1 | Score= 100 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 0 | SMA2= 9713.17 | SMA3= 9713.04 | Points= 0.3099999999994907 | Strength= 560 | Points2= 0.37000000000080036 | Strength2= 560 | Tick1= 9713.29 Tick2= 9712.92 Tick3= 9713.23 Tick4= 9713.42 Extra= 9713.42 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 30 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 55.81395348828356 | SMA2= 9712.985 | SMA3= 9712.916666666666 | Points= 0.19000000000050932 | Strength= 560 | Points2= 0.3099999999994907 | Strength2= 560 | Tick1= 9712.92 Tick2= 9713.23 Tick3= 9713.42 Tick4= 9713.18 Extra= 9713.18 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 50 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9713.14 | SMA3= 9713.02 | Points= 0.23999999999978172 | Strength= 560 | Points2= 0.19000000000050932 | Strength2= 560 | Tick1= 9713.23 Tick2= 9713.42 Tick3= 9713.18 Tick4= 9713.05 Extra= 9713.05 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 40 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 2 | RSI= 100 | SMA2= 9713.235 | SMA3= 9713.083333333334 | Points= 0.13000000000101863 | Strength= 560 | Points2= 0.23999999999978172 | Strength2= 560 | Tick1= 9713.42 Tick2= 9713.18 Tick3= 9713.05 Tick4= 9712.91 Extra= 9712.91 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 30 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 2 | RSI= 100 | SMA2= 9713.115 | SMA3= 9713.003333333334 | Points= 0.13999999999941792 | Strength= 560 | Points2= 0.13000000000101863 | Strength2= 560 | Tick1= 9713.18 Tick2= 9713.05 Tick3= 9712.91 Tick4= 9712.76 Extra= 9712.76 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 40 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9712.915 | SMA3= 9712.656666666666 | Points= 0.1499999999996362 | Strength= 560 | Points2= 0.13999999999941792 | Strength2= 560 | Tick1= 9713.05 Tick2= 9712.91 Tick3= 9712.76 Tick4= 9712.61 Extra= 9712.61 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 40 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9712.845000000001 | SMA3= 9712.609999999999 | Points= 0.1499999999996362 | Strength= 560 | Points2= 0.1499999999996362 | Strength2= 560 | Tick1= 9712.91 Tick2= 9712.76 Tick3= 9712.61 Tick4= 9712.58 Extra= 9712.58 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 30 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9712.77 | SMA3= 9712.56 | Points= 0.030000000000654836 | Strength= 560 | Points2= 0.1499999999996362 | Strength2= 560 | Tick1= 9712.76 Tick2= 9712.61 Tick3= 9712.58 Tick4= 9712.58 Extra= 9712.58 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= NaN | SMA2= 9712.695 | SMA3= 9712.51 | Points= 0 | Strength= 560 | Points2= 0.030000000000654836 | Strength2= 560 | Tick1= 9712.61 Tick2= 9712.58 Tick3= 9712.58 Tick4= 9712.58 Extra= 9712.58 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9712.68 | SMA3= 9712.5 | Points= 0 | Strength= 560 | Points2= 0 | Strength2= 560 | Tick1= 9712.58 Tick2= 9712.58 Tick3= 9712.58 Tick4= 9712.46 Extra= 9712.46 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9712.68 | SMA3= 9712.5 | Points= 0.12000000000080036 | Strength= 560 | Points2= 0 | Strength2= 560 | Tick1= 9712.58 Tick2= 9712.58 Tick3= 9712.46 Tick4= 9712.46 Extra= 9712.46 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 40 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9712.619999999999 | SMA3= 9712.46 | Points= 0 | Strength= 560 | Points2= 0.12000000000080036 | Strength2= 560 | Tick1= 9712.58 Tick2= 9712.46 Tick3= 9712.46 Tick4= 9712.38 Extra= 9712.38 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9712.619999999999 | SMA3= 9712.46 | Points= 0.07999999999992724 | Strength= 560 | Points2= 0 | Strength2= 560 | Tick1= 9712.46 Tick2= 9712.46 Tick3= 9712.38 Tick4= 9712.31 Extra= 9712.31 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 20 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9712.58 | SMA3= 9712.433333333332 | Points= 0.06999999999970896 | Strength= 560 | Points2= 0.07999999999992724 | Strength2= 560 | Tick1= 9712.46 Tick2= 9712.38 Tick3= 9712.31 Tick4= 9712.18 Extra= 9712.18 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 48.148148148098244 | SMA2= 9712.545 | SMA3= 9712.409999999998 | Points= 0.12999999999919964 | Strength= 560 | Points2= 0.06999999999970896 | Strength2= 560 | Tick1= 9712.38 Tick2= 9712.31 Tick3= 9712.18 Tick4= 9712.32 Extra= 9712.32 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 1 | Score= 100 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 39.130434782746235 | SMA2= 9712.48 | SMA3= 9712.366666666667 | Points= 0.13999999999941792 | Strength= 560 | Points2= 0.12999999999919964 | Strength2= 560 | Tick1= 9712.31 Tick2= 9712.18 Tick3= 9712.32 Tick4= 9712.23 Extra= 9712.23 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 1 | Score= 100 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
