 Date,Time,Message
2026-09-05,01:42:37 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:37 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:37 GMT,V6.1 DIAG | 4 0 8 0.15000000000000002 0 -0.14999999999999997 0 -0.4 -0.2 0.45 6 2 0 0 0 0 undefined 0
2026-09-05,01:42:36 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:36 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:36 GMT,V6.1 DIAG | 6 0 9 0 0.028571428571428567 0 -0.06666666666666667 -0.65 -0.2 0.45 6 2 0 0 0 0 undefined 0
2026-09-05,01:42:35 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:35 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:35 GMT,V6.1 DIAG | 6 0 10 0.04999999999999993 0.028571428571428567 -0.04999999999999999 -0.06666666666666667 -0.65 -0.2 0.4 6 2 0 0 0 0 undefined 0
2026-09-05,01:42:34 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:34 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:34 GMT,V6.1 DIAG | 2 0 6 0.04999999999999993 -0.028571428571428567 -0.04999999999999999 0.06666666666666667 0.15000000000000002 -0.2 0.4 5 3 0 0 0 0 undefined 0
2026-09-05,01:42:33 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:33 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:33 GMT,V6.1 DIAG | 9 0 6 0.04999999999999993 -0.028571428571428567 -0.04999999999999999 0.06666666666666667 0.15000000000000002 -0.2 0.4 5 3 0 1 0 0 undefined 0
2026-09-05,01:42:32 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:32 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:32 GMT,V6.1 DIAG | 2 0 8 0.15000000000000002 0 -0.14999999999999997 0 0.15000000000000002 -0.2 -0.1 6 2 0 0 0 0 undefined 0
2026-09-05,01:42:31 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:31 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:31 GMT,V6.1 DIAG | 2 0 8 0.15000000000000002 -0.057142857142857134 -0.14999999999999997 0.13333333333333333 0.9500000000000001 -0.2 -0.1 6 2 0 0 0 0 undefined 0
2026-09-05,01:42:30 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:30 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:30 GMT,V6.1 DIAG | 7 0 8 0.15000000000000002 -0.057142857142857134 -0.14999999999999997 0.13333333333333333 0.9500000000000001 -0.2 -0.1 6 2 0 1 0 0 undefined 0
2026-09-05,01:42:29 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:29 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:29 GMT,V6.1 DIAG | 0 0 8 0.30000000000000004 -0.028571428571428567 -0.30000000000000004 0.06666666666666667 0.45 -0.25 -0.1 7 1 0 0 0 0 undefined 0
2026-09-05,01:42:28 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:28 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:28 GMT,V6.1 DIAG | 1 0 8 0.30000000000000004 -0.028571428571428567 -0.30000000000000004 0.06666666666666667 0.45 -0.25 -0.1 7 1 0 0 0 0 undefined 0
2026-09-05,01:42:27 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:27 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:27 GMT,V6.1 DIAG | 7 0 8 0.15000000000000002 0 -0.14999999999999997 0 0.2 -0.25 -0.1 7 1 0 1 0 0 undefined 0
2026-09-05,01:42:25 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:25 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:25 GMT,V6.1 DIAG | 1 0 12 0.25 0.028571428571428567 -0.24999999999999997 -0.06666666666666667 -0.30000000000000004 -0.25 -0.1 8 0 0 0 1 0 undefined 0
2026-09-05,01:42:24 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:24 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:24 GMT,V6.1 DIAG | 5 0 12 0.25 0.028571428571428567 -0.24999999999999997 -0.06666666666666667 -0.30000000000000004 -0.25 -0.1 7 1 0 0 0 0 undefined 0
2026-09-05,01:42:23 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:23 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:23 GMT,V6.1 DIAG | 4 0 12 0.10000000000000009 0.057142857142857134 -0.09999999999999998 -0.13333333333333333 -0.30000000000000004 -0.25 -0.35000000000000003 7 1 0 0 1 0 undefined 0
2026-09-05,01:42:22 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:22 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:22 GMT,V6.1 DIAG | 0 0 12 0.10000000000000009 0.057142857142857134 -0.09999999999999998 -0.13333333333333333 -0.30000000000000004 -0.25 -0.35000000000000003 7 1 0 0 1 0 undefined 0
2026-09-05,01:42:21 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:21 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:21 GMT,V6.1 DIAG | 2 0 9 -0.050000000000000044 0.028571428571428567 0.04999999999999999 -0.06666666666666667 0.5 -0.5 -0.35000000000000003 6 2 0 1 0 0 undefined 0
2026-09-05,01:42:20 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:20 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:20 GMT,V6.1 DIAG | 1 0 9 -0.20000000000000007 0.05714285714285714 0.2 -0.13333333333333336 0.5 -0.75 -0.35000000000000003 6 2 0 0 0 0 undefined 0
2026-09-05,01:42:19 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:19 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:19 GMT,V6.1 DIAG | 6 0 9 -0.20000000000000007 0.05714285714285714 0.2 -0.13333333333333336 0.5 -0.75 -0.35000000000000003 5 3 1 0 0 0 undefined 0
2026-09-05,01:42:18 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:18 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:18 GMT,V6.1 DIAG | 3 0 2 -0.15000000000000002 0 0.15000000000000002 0 0.5 -0.75 0.4 4 4 2 1 0 0 undefined 0
2026-09-05,01:42:18 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:18 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:18 GMT,V6.1 DIAG | 7 0 5 -0.30000000000000004 0.028571428571428574 0.3 -0.06666666666666668 0.5 -1 0.4 4 4 2 0 0 0 undefined 0
2026-09-05,01:42:18 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:18 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:18 GMT,V6.1 DIAG | 2 0 8 -0.35 0.028571428571428574 0.35 -0.06666666666666668 0 -0.4499999999999999 0.4 5 3 2 0 0 0 undefined 0
2026-09-05,01:42:18 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:18 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:18 GMT,V6.1 DIAG | 5 0 2 -0.35 -0.028571428571428574 0.35 0.06666666666666668 0 0.35000000000000003 0.4 4 4 3 1 0 0 undefined 0
2026-09-05,01:42:18 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:18 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:18 GMT,V6.1 DIAG | 9 0 1 -0.5 0 0.5 0 0 0.35000000000000003 0.15000000000000002 3 5 4 1 0 0 undefined 0
2026-09-05,01:42:14 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
2026-09-05,01:42:14 GMT,SENTINEL V6 MULTI-WINDOW SCAN >>>
2026-09-05,01:42:14 GMT,V6.1 DIAG | 6 0 6 -0.4 0.028571428571428574 0.4 -0.06666666666666668 0 0.35000000000000003 -0.35000000000000003 4 4 4 1 0 0 undefined 0
2026-09-05,01:42:13 GMT,V6.1 BLOCK - safety/regime/timing gate failed or signal already used
